label,query,mask,ambigous_word
denn10,"»Ohne Europa sind viele Fragen nicht mehr seriös in Angriff zu nehmen , geschweige denn zu lösen« , meint der grüne Bundesparteisekretär Lothar Lockl .",in Angriff zu nehmen,denn
geschweige10,"»Ohne Europa sind viele Fragen nicht mehr seriös in Angriff zu nehmen , geschweige denn zu lösen« , meint der grüne Bundesparteisekretär Lothar Lockl .",zu lösen«,geschweige
denn10,"»Ohne Europa sind viele Fragen nicht mehr seriös in Angriff zu nehmen , geschweige denn zu lösen« , meint der grüne Bundesparteisekretär Lothar Lockl .",zu lösen«,denn
geschweige10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",dass vor und neben Alexander – soweit wir wissen –,geschweige
denn10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",dass vor und neben Alexander – soweit wir wissen –,denn
geschweige10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",kein,geschweige
denn10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",kein,denn
geschweige10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",Grieche,geschweige
denn10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",Grieche,denn
geschweige10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",auf die Idee gekommen ist,geschweige
denn10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",auf die Idee gekommen ist,denn
geschweige10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",versucht hat,geschweige
denn10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",versucht hat,denn
geschweige10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",nach Indien zu ziehen,geschweige
denn10,"Dies lässt sich damit begründen , dass vor und neben Alexander – soweit wir wissen – kein Grieche auf die Idee gekommen ist , geschweige denn versucht hat , nach Indien zu ziehen .",nach Indien zu ziehen,denn
geschweige10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",Dennoch hat Hamas es,geschweige
denn10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",Dennoch hat Hamas es,denn
geschweige10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",nicht,geschweige
denn10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",nicht,denn
geschweige10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",geschafft,geschweige
denn10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",geschafft,denn
geschweige10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",ihre militärischen Kapazitäten auszubauen,geschweige
denn10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",ihre militärischen Kapazitäten auszubauen,denn
geschweige10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren,geschweige
denn10,"Dennoch hat Hamas es nicht geschafft , ihre militärischen Kapazitäten auszubauen , geschweige denn eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren .",eine zivile Infrastruktur in ihrem Einflussgebiet zu etablieren,denn
geschweige10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .","Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen",geschweige
denn10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .","Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen",denn
geschweige10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .",nicht,geschweige
denn10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .",nicht,denn
geschweige10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .","einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern",geschweige
denn10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .","einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern",denn
geschweige10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .",dass sie ihre Amtseinführung bestaunen würden,geschweige
denn10,"Abermillionen rings um die Welt , die das Spektakel auf dem Schirm beobachtet haben , kennen nicht einmal die Namen der Staatschefs von China , Indien oder den europäischen Ländern , geschweige denn , dass sie ihre Amtseinführung bestaunen würden .",dass sie ihre Amtseinführung bestaunen würden,denn
geschweige10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",Ohne den Staat könnte ein Großteil der Banken schlicht,geschweige
denn10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",Ohne den Staat könnte ein Großteil der Banken schlicht,denn
geschweige10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",nicht,geschweige
denn10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",nicht,denn
geschweige10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",überleben,geschweige
denn10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",überleben,denn
geschweige10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",die Wirtschaft angemessen mit Geld versorgen,geschweige
denn10,"Ohne den Staat könnte ein Großteil der Banken schlicht nicht überleben , geschweige denn die Wirtschaft angemessen mit Geld versorgen .",die Wirtschaft angemessen mit Geld versorgen,denn
geschweige10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",Die meisten von ihnen haben zuvor noch,geschweige
denn10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",Die meisten von ihnen haben zuvor noch,denn
geschweige10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",nie,geschweige
denn10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",nie,denn
geschweige10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",einen Computer,geschweige
denn10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",einen Computer,denn
geschweige10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",gesehen,geschweige
denn10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",gesehen,denn
geschweige10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",bedient,geschweige
denn10,"Die meisten von ihnen haben zuvor noch nie einen Computer gesehen , geschweige denn bedient .",bedient,denn
geschweige10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",dass sich ein Blick,geschweige
denn10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",dass sich ein Blick,denn
geschweige10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",in die Tradition der Kunst,geschweige
denn10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",in die Tradition der Kunst,denn
geschweige10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",über die deutsch-deutsche Grenze,geschweige
denn10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",über die deutsch-deutsche Grenze,denn
geschweige10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",geradezu,geschweige
denn10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",geradezu,denn
geschweige10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",verbot,geschweige
denn10,"Und viele Künstler kreisten derart um sich selbst , dass sich ein Blick in die Tradition der Kunst , geschweige denn über die deutsch-deutsche Grenze geradezu verbot .",verbot,denn
geschweige10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",niemand,geschweige
denn10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",niemand,denn
geschweige10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",wie sich aus den iPS gezielt,geschweige
denn10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",wie sich aus den iPS gezielt,denn
geschweige10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",einzelne Körperzellen,geschweige
denn10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",einzelne Körperzellen,denn
geschweige10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",züchten lassen,geschweige
denn10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",züchten lassen,denn
geschweige10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",ganze Muskeln oder Organe,geschweige
denn10,"Noch weiß niemand genau , wie sich aus den iPS gezielt einzelne Körperzellen züchten lassen , geschweige denn ganze Muskeln oder Organe .",ganze Muskeln oder Organe,denn
Geschweige10,"Geschweige denn , dass sie die Argumentation einfach kippten .",dass sie die Argumentation einfach kippten,Geschweige
denn10,"Geschweige denn , dass sie die Argumentation einfach kippten .",dass sie die Argumentation einfach kippten,denn
geschweige10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",nicht,geschweige
denn10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",nicht,denn
geschweige10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",was,geschweige
denn10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",was,denn
geschweige10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",in sechs Monaten,geschweige
denn10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",in sechs Monaten,denn
geschweige10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",sein wird,geschweige
denn10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",sein wird,denn
geschweige10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",in sechs Jahren,geschweige
denn10,"Noch die größten Experten wissen nicht zu sagen , was in sechs Monaten sein wird , geschweige denn in sechs Jahren .",in sechs Jahren,denn
geschweige10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .","Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler",geschweige
denn10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .","Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler",denn
geschweige10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .",nicht,geschweige
denn10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .",nicht,denn
geschweige10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .","sehen , hören",geschweige
denn10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .","sehen , hören",denn
geschweige10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .",reden,geschweige
denn10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .",reden,denn
geschweige10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .",wollen,geschweige
denn10,"Weil Funktionäre , Politiker , Ärzte sowie Trainer und Sportler nicht sehen , hören , geschweige denn reden wollen .",wollen,denn
geschweige10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",dass das ganze Unternehmen,geschweige
denn10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",dass das ganze Unternehmen,denn
geschweige10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",keine,geschweige
denn10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",keine,denn
geschweige10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",drei Euro,geschweige
denn10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",drei Euro,denn
geschweige10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",wert ist,geschweige
denn10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .",wert ist,denn
geschweige10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .","die drei Euro je Aktie , die Flowers verlangt",geschweige
denn10,"""""Es ist mehr als klar , dass das ganze Unternehmen keine drei Euro wert ist - geschweige denn die drei Euro je Aktie , die Flowers verlangt """" , sagte ein Börsianer .","die drei Euro je Aktie , die Flowers verlangt",denn
geschweige10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",so wie wir manche Sachen im Leben,geschweige
denn10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",so wie wir manche Sachen im Leben,denn
geschweige10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",nicht,geschweige
denn10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",nicht,denn
geschweige10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",bestimmen,geschweige
denn10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",bestimmen,denn
geschweige10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",vorhersehen,geschweige
denn10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",vorhersehen,denn
geschweige10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",können,geschweige
denn10,"Genauso wichtig ist , zu sehen , dass die gewürfelten Augenzahlen signifikanten Einfluss auf das Geschehen auf dem Bildschirm haben ; so wie wir manche Sachen im Leben nicht bestimmen geschweige denn vorhersehen können .",können,denn
geschweige10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",die man in der Realität,geschweige
denn10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",die man in der Realität,denn
geschweige10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",nie,geschweige
denn10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",nie,denn
geschweige10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",spielen,geschweige
denn10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",spielen,denn
geschweige10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",komponieren,geschweige
denn10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",komponieren,denn
geschweige10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",würde,geschweige
denn10,"Oder man geht ins Studio , wo man Songs aufnimmt , die man in der Realität nie spielen geschweige denn komponieren würde .",würde,denn
geschweige10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",Deren Ergebnisse zogen,geschweige
denn10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",Deren Ergebnisse zogen,denn
geschweige10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",kaum,geschweige
denn10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",kaum,denn
geschweige10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",Diskussionen,geschweige
denn10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",Diskussionen,denn
geschweige10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",Taten,geschweige
denn10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",Taten,denn
geschweige10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",nach sich,geschweige
denn10,"Deren Ergebnisse zogen kaum Diskussionen , geschweige denn Taten nach sich .",nach sich,denn
geschweige10,"Viele stellen in Indien auch eine grundsätzliche Frage : Biowissenschaften , Nanotechnologie , gar Mondraketen – ist das wirklich das , was ein Land braucht , in dem hunderte Millionen Menschen hungern , kein fließendes Wasser , geschweige denn Strom haben ?",in dem hunderte Millionen Menschen,geschweige
denn10,"Viele stellen in Indien auch eine grundsätzliche Frage : Biowissenschaften , Nanotechnologie , gar Mondraketen – ist das wirklich das , was ein Land braucht , in dem hunderte Millionen Menschen hungern , kein fließendes Wasser , geschweige denn Strom haben ?",in dem hunderte Millionen Menschen,denn
geschweige10,"Viele stellen in Indien auch eine grundsätzliche Frage : Biowissenschaften , Nanotechnologie , gar Mondraketen – ist das wirklich das , was ein Land braucht , in dem hunderte Millionen Menschen hungern , kein fließendes Wasser , geschweige denn Strom haben ?",kein,geschweige
denn10,"Viele stellen in Indien auch eine grundsätzliche Frage : Biowissenschaften , Nanotechnologie , gar Mondraketen – ist das wirklich das , was ein Land braucht , in dem hunderte Millionen Menschen hungern , kein fließendes Wasser , geschweige denn Strom haben ?",kein,denn
